datetime,open,high,low,close,asset,SMA_5
2024-08-15,0.59995002,0.60154998,0.59750003,0.59845001,NZD/USD,0.601539994
2024-08-16,0.59869999,0.6056,0.59780002,0.60544997,NZD/USD,0.6026499860000001
2024-08-19,0.60544997,0.6117,0.60535002,0.61145002,NZD/USD,0.6045699959999999
2024-08-20,0.61119998,0.61580002,0.61075002,0.61535001,NZD/USD,0.6060899980000001
2024-08-21,0.61540002,0.6178,0.61320001,0.61575001,NZD/USD,0.609290004
2024-08-22,0.61645001,0.61699998,0.6128,0.61400002,NZD/USD,0.612400006
2024-08-23,0.61355001,0.62370002,0.61325002,0.62344998,NZD/USD,0.616000008
2024-08-26,0.62239999,0.62325001,0.61975002,0.62045002,NZD/USD,0.617800008
2024-08-27,0.62054998,0.62550002,0.61944997,0.62529999,NZD/USD,0.619790004
2024-08-28,0.62519997,0.62535,0.62239999,0.62449998,NZD/USD,0.621539998
2024-08-29,0.62440002,0.62989998,0.62410003,0.62575001,NZD/USD,0.623889996
2024-08-30,0.62575001,0.62744999,0.62300003,0.62494999,NZD/USD,0.6241899980000001
2024-09-02,0.62515002,0.62524998,0.62204999,0.62325001,NZD/USD,0.624749996
2024-09-03,0.6232,0.62360001,0.61799997,0.61874998,NZD/USD,0.623439994
2024-09-04,0.61849999,0.62169999,0.61690003,0.61989999,NZD/USD,0.6225199960000001
2024-09-05,0.61984998,0.62269998,0.61785001,0.62230003,NZD/USD,0.62183
2024-09-06,0.62239999,0.62545002,0.61565,0.61745,NZD/USD,0.620330002
2024-09-09,0.61729997,0.61870003,0.61255002,0.61449999,NZD/USD,0.618579998
2024-09-10,0.61444998,0.61659998,0.61320001,0.61500001,NZD/USD,0.617830004
2024-09-11,0.61500001,0.61580002,0.61065,0.61369997,NZD/USD,0.61659
2024-09-12,0.61339998,0.61849999,0.6128,0.61839998,NZD/USD,0.61580999
2024-09-13,0.61809999,0.61940002,0.61519998,0.61565,NZD/USD,0.61544999
2024-09-16,0.61629999,0.62019998,0.61545002,0.62019998,NZD/USD,0.6165899880000001
2024-09-17,0.62010002,0.62110001,0.61760002,0.61860001,NZD/USD,0.6173099879999999
2024-09-18,0.61855,0.62685001,0.61825001,0.62094998,NZD/USD,0.61875999
2024-09-19,0.62094998,0.62695003,0.61809999,0.6239,NZD/USD,0.619859994
2024-09-20,0.62384999,0.62599999,0.62099999,0.62374997,NZD/USD,0.621479988
2024-09-23,0.6239,0.62800002,0.6225,0.62664998,NZD/USD,0.6227699879999999
2024-09-24,0.62669998,0.63429999,0.62589997,0.63405001,NZD/USD,0.625859988
2024-09-25,0.63389999,0.63559997,0.62594998,0.62625003,NZD/USD,0.626919998
2024-09-26,0.62655002,0.63325,0.62519997,0.63274997,NZD/USD,0.628689992
2024-09-27,0.63279998,0.63679999,0.62959999,0.63405001,NZD/USD,0.63075
2024-09-30,0.63499999,0.63789999,0.63375002,0.63485003,NZD/USD,0.63239001
2024-10-01,0.63489997,0.63499999,0.62650001,0.62809998,NZD/USD,0.631200004
2024-10-02,0.62825,0.63134998,0.62580001,0.62625003,NZD/USD,0.631200004
2024-10-03,0.6261,0.62725002,0.62099999,0.62129998,NZD/USD,0.6289100059999999
2024-10-04,0.62129998,0.62199998,0.61454999,0.61580002,NZD/USD,0.625260008
2024-10-07,0.61589998,0.61734998,0.61119998,0.61220002,NZD/USD,0.620730006
2024-10-08,0.61220002,0.6146,0.61075002,0.6135,NZD/USD,0.61781001
2024-10-09,0.61355001,0.61444998,0.60525,0.60579997,NZD/USD,0.613719998
2024-10-10,0.60579997,0.60949999,0.6056,0.60900003,NZD/USD,0.611260008
2024-10-11,0.60900003,0.61199999,0.60839999,0.61105001,NZD/USD,0.6103100060000001
2024-10-12,0.61110002,0.61119998,0.61080003,0.61094999,NZD/USD,0.61006
2024-10-14,0.6099,0.61035001,0.60699999,0.60909998,NZD/USD,0.6091799960000001
2024-10-15,0.60909998,0.61059999,0.60734999,0.60790002,NZD/USD,0.609600006
2024-10-16,0.60790002,0.60935003,0.60399997,0.60579997,NZD/USD,0.608959994
2024-10-17,0.60579997,0.60759997,0.60444999,0.60589999,NZD/USD,0.60792999
2024-10-18,0.60600001,0.60799998,0.60535002,0.60705,NZD/USD,0.607149992
2024-10-19,0.60689998,0.6074,0.60689998,0.60715002,NZD/USD,0.60676
2024-10-21,0.60699999,0.60839999,0.60290003,0.60325003,NZD/USD,0.6058300019999999
2024-10-22,0.60325003,0.60614997,0.60210001,0.6045,NZD/USD,0.605570008
2024-10-23,0.60430002,0.60565001,0.59909999,0.60070002,NZD/USD,0.6045300140000001
2024-10-24,0.6006,0.60325003,0.59985,0.60170001,NZD/USD,0.603460016
2024-10-25,0.60170001,0.60194999,0.59745002,0.59750003,NZD/USD,0.601530018
2024-10-26,0.59754997,0.59780002,0.59745002,0.59775001,NZD/USD,0.6004300140000001
2024-10-28,0.59789997,0.59979999,0.59579998,0.59815001,NZD/USD,0.599160016
2024-10-29,0.59799999,0.59899998,0.59535003,0.59670001,NZD/USD,0.598360014
2024-10-30,0.5966,0.6002,0.59500003,0.5977,NZD/USD,0.597560012
2024-10-31,0.59780002,0.5984,0.59399998,0.59764999,NZD/USD,0.597590004
2024-11-01,0.5977,0.59995002,0.59579998,0.59609997,NZD/USD,0.597259996
2024-11-02,0.59609997,0.59640002,0.5959,0.59635001,NZD/USD,0.596899996
2024-11-04,0.60025001,0.60159999,0.59724998,0.59740001,NZD/USD,0.597039996
2024-11-05,0.59750003,0.60105002,0.59670001,0.59969997,NZD/USD,0.59743999
2024-11-06,0.59969997,0.60210001,0.59119999,0.59485,NZD/USD,0.5968799920000001
2024-11-07,0.59490001,0.6038,0.59310001,0.60180002,NZD/USD,0.5980200019999999
2024-11-08,0.60180002,0.60325003,0.59474999,0.59609997,NZD/USD,0.597969994
2024-11-09,0.5959,0.59705001,0.59565002,0.597,NZD/USD,0.597889992
2024-11-11,0.59665,0.59780002,0.59485,0.59595001,NZD/USD,0.59714
2024-11-12,0.59595001,0.59729999,0.5909,0.5923,NZD/USD,0.59663
2024-11-13,0.59219998,0.5948,0.58775002,0.58835,NZD/USD,0.5939399960000001
2024-11-14,0.58840001,0.58859998,0.58499998,0.58649999,NZD/USD,0.59202
2024-11-15,0.58660001,0.58810002,0.58389997,0.58595002,NZD/USD,0.589810004
2024-11-16,0.58590001,0.5869,0.58525002,0.58649999,NZD/USD,0.58792
2024-11-18,0.58670002,0.5898,0.58364999,0.58890003,NZD/USD,0.5872400059999999
2024-11-19,0.58899999,0.59125,0.58745003,0.59114999,NZD/USD,0.587800004
2024-11-20,0.59100002,0.59219998,0.58639997,0.58700001,NZD/USD,0.587900008
2024-11-21,0.58700001,0.58859998,0.58494997,0.58670002,NZD/USD,0.5880500080000001
2024-11-22,0.58665001,0.58674997,0.58165002,0.58279997,NZD/USD,0.5873100040000001
2024-11-23,0.58289999,0.5837,0.58249998,0.58335,NZD/USD,0.586199998
2024-11-25,0.58569998,0.58695,0.58354998,0.58490002,NZD/USD,0.5849500040000001
2024-11-26,0.58499998,0.58660001,0.57969999,0.58275002,NZD/USD,0.584100006
2024-11-27,0.58270001,0.59085,0.58235002,0.58964998,NZD/USD,0.584689998
2024-11-28,0.58969998,0.59060001,0.588,0.5891,NZD/USD,0.5859500040000001
2024-11-29,0.58920002,0.59289998,0.58864999,0.5927,NZD/USD,0.5878200039999999
